,,,,,,,,,,,,,,,,B05001PR,CITIZENSHIP STATUS IN PUERTO RICO
,,,,,,,,,,,,,,,,B05002,PLACE OF BIRTH BY CITIZENSHIP STATUS
,,,,,,,,,,,,,,,,B05003,SEX BY AGE BY CITIZENSHIP STATUS
,,,,,,,,,,,,,,,,B05003A,SEX BY AGE BY CITIZENSHIP STATUS (WHITE ALONE)
,,,,,,,,,,,,,,,,B05003B,SEX BY AGE BY CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE)
,,,,,,,,,,,,,,,,B05003C,SEX BY AGE BY CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
,,,,,,,,,,,,,,,,B05003D,SEX BY AGE BY CITIZENSHIP STATUS (ASIAN ALONE)
,,,,,,,,,,,,,,,,B05003E,SEX BY AGE BY CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
,,,,,,,,,,,,,,,,B05003F,SEX BY AGE BY CITIZENSHIP STATUS (SOME OTHER RACE ALONE)
,,,,,,,,,,,,,,,,B05003G,SEX BY AGE BY CITIZENSHIP STATUS (TWO OR MORE RACES)
,,,,,,,,,,,,,,,,B05003H,"SEX BY AGE BY CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)"
,,,,,,,,,,,,,,,,B05003I,SEX BY AGE BY CITIZENSHIP STATUS (HISPANIC OR LATINO)
,,,,,,,,,,,,,,,,B05004,MEDIAN AGE BY CITIZENSHIP STATUS BY SEX
,,,,,,,,,,,,,,,,B05005,YEAR OF ENTRY BY CITIZENSHIP STATUS IN THE UNITED STATES
,,,,,,,,,,,,,,,,B05005PR,YEAR OF ENTRY BY CITIZENSHIP STATUS IN PUERTO RICO
,,,,,,,,,,,,,,,,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION
,,,,,,,,,,,,,,,,B05007,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION
,,,,,,,,,,,,,,,,B05008,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION
,,,,,,,,,,,,,,,,B06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO
,,,,,,,,,,,,,,,,B06002,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06002PR,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO
,,,,,,,,,,,,,,,,B06003,PLACE OF BIRTH BY SEX IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06003PR,PLACE OF BIRTH BY SEX IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004A,PLACE OF BIRTH BY RACE (WHITE ALONE) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004APR,PLACE OF BIRTH BY RACE (WHITE ALONE) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004B,PLACE OF BIRTH BY RACE (BLACK OR AFRICAN AMERICAN ALONE) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004BPR,PLACE OF BIRTH BY RACE (BLACK OR AFRICAN AMERICAN ALONE) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004C,PLACE OF BIRTH BY RACE (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004CPR,PLACE OF BIRTH BY RACE (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004D,PLACE OF BIRTH BY RACE (ASIAN ALONE) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004DPR,PLACE OF BIRTH BY RACE (ASIAN ALONE) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004E,PLACE OF BIRTH BY RACE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004F,PLACE OF BIRTH BY RACE (SOME OTHER RACE ALONE) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004FPR,PLACE OF BIRTH BY RACE (SOME OTHER RACE ALONE) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004G,PLACE OF BIRTH BY RACE (TWO OR MORE RACES) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004GPR,PLACE OF BIRTH BY RACE (TWO OR MORE RACES) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06004H,"PLACE OF BIRTH BY RACE (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES"
,,,,,,,,,,,,,,,,B06004HPR,"PLACE OF BIRTH BY RACE (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO"
,,,,,,,,,,,,,,,,B06004I,PLACE OF BIRTH BY RACE (HISPANIC OR LATINO) IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06004IPR,PLACE OF BIRTH BY RACE (HISPANIC OR LATINO) IN PUERTO RICO
,,,,,,,,,,,,,,,,B06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES
,,,,,,,,,,,,,,,,B06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO
,,,,,,,,,,,,,,,,B06008,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES
